,Municipio,Superficie,Población,Densidad
0,Total comarca,1252.89,31930,25.49
1,Alameda del Valle,25.01,246,9.84
2,Berzosa del Lozoya,14.32,216,15.08
3,Braojos de la Sierra,24.93,218,8.74
4,Buitrago del Lozoya,26.5,1940,73.21
5,Bustarviejo,57.32,2701,47.12
6,Cabanillas de la Sierra,14.07,837,59.49
7,Canencia,52.7,461,8.75
8,Cervera de Buitrago,12.02,158,13.14
9,El Atazar,29.55,109,3.69
10,El Berrueco,28.8,796,27.64
11,El Vellón,34.14,2083,61.01
12,Garganta de los Montes,39.66,411,10.36
13,Gargantilla del Lozoya y Pinilla de Buitrago,24.12,344,14.26
14,Gascones,20.04,191,9.53
15,Horcajo de la Sierra-Aoslos,20.57,170,8.26
16,Horcajuelo de la Sierra,24.39,106,4.35
17,La Acebeda,22.06,55,2.49
18,La Cabrera,22.4,2782,124.2
19,La Hiruela,17.18,72,4.19
20,La Serna del Monte,5.44,96,17.65
21,Lozoya,57.94,593,10.23
22,Lozoyuela-Navas-Sieteiglesias,51.28,1407,27.44
23,Madarcos,8.46,57,6.74
24,Montejo de la Sierra,31.95,365,11.42
25,Navalafuente,11.75,1573,133.87
26,Navarredonda y San Mamés,27.44,141,5.14
27,Patones,34.47,524,15.2
28,Pinilla del Valle,25.84,196,7.59
29,Piñuécar-Gandullas,18.19,185,10.17
30,Prádena del Rincón,22.48,149,6.63
31,Puebla de la Sierra,57.7,75,1.3
32,Puentes Viejas,58.33,719,12.33
33,Rascafría,150.28,1754,11.67
34,Redueña,12.87,294,22.84
35,Robledillo de la Jara,20.35,97,4.77
36,Robregordo,18.03,71,3.94
37,Somosierra,20.42,87,4.26
38,Torrelaguna,43.4,4897,112.83
39,Torremocha de Jarama,18.49,1079,58.36
40,Valdemanco,17.58,1012,57.57
41,Venturada,9.79,2387,243.82
42,Villavieja del Lozoya,23.3,276,11.85
