,Sierra de La Cabrera,Valle del Jarama,Valle Alto del Lozoya,Valle Medio del Lozoya,Valle Bajo del Lozoya,Sierra del Rincón
0,Bustarviejo,El Vellón,Alameda del Valle,Braojos de la Sierra,Berzosa del Lozoya,Horcajuelo de la Sierra
1,Cabanillas de la Sierra,Patones,Canencia,Buitrago del Lozoya,Cervera de Buitrago,La Hiruela
2,La Cabrera,Redueña,Garganta de los Montes,Gascones,El Atazar,Montejo de la Sierra
3,Lozoyuela-Navas-Sieteiglesias,Torrelaguna,Gargantilla del Lozoya y Pinilla de Buitrago,Horcajo de la Sierra,El Berrueco,Prádena del Rincón
4,Navalafuente,Torremocha de Jarama,Lozoya,La Acebeda,Puentes Viejas,Puebla de la Sierra
5,Valdemanco,,Navarredonda y San Mamés,La Serna del Monte,Robledillo de la Jara,
6,Venturada,,Pinilla del Valle,Madarcos,,
7,,,Rascafría,Piñuécar-Gandullas,,
8,,,,Robregordo,,
9,,,,Somosierra,,
10,,,,Villavieja del Lozoya,,
